Ремонт прожогов на потолке, 1000,
Покраска руля, 2500,
Удаление царапин на пластике, 1000,
Покраска сиденья, 3500,
Ремонт прожога на коже, 1000,
Ремонт порезов на виниле, 1500,
Ремонт порезов на коже, 1500,
Реставрация отдельных деталей интерьера, 1000
